step,action_direction,action_tp_mult,position,balance,equity,max_drawdown_pct
31,0.25904346,-0.72503865,1,9999.9,9997.352747444462,0.0265
32,0.28878653,-0.7428447,1,9999.9,9994.80549488893,0.0519
33,0.2906425,-0.7267625,1,9999.9,9940.294290200465,0.5971
34,0.29884243,-0.76612365,1,9999.9,9970.52168719282,0.2948
35,0.29330194,-0.7830404,1,9999.9,10125.055008895317,0.0
36,0.28792977,-0.73151743,1,9999.9,10036.410619962675,0.8755
40,0.3074987,-0.7646746,1,9999.9,9977.993628022394,1.4525
41,0.31012893,-0.72727495,1,9870.178272438048,9866.782486117174,2.5508
42,0.4904691,-0.6220534,1,10064.772583261223,10059.23956188288,0.65
43,0.53487635,-0.76513606,1,10064.772583261223,10140.02167400666,0.0
44,0.396904,-0.8254978,1,10064.772583261223,9979.195185942874,1.5861
46,0.2821548,-0.5747801,1,10064.772583261223,10076.576362201682,0.6257
53,0.4079424,-0.77183324,1,10404.68487514457,10399.850532249271,0.0474
54,0.3954804,-0.6842288,1,10404.68487514457,10394.693899827627,0.097
55,0.43859553,-0.79157126,1,10404.68487514457,10344.7390232429,0.5771
56,0.25763583,-0.7742075,1,10404.68487514457,10442.715039254232,0.0
57,0.27834654,-0.81758076,1,10404.68487514457,10473.332544257764,0.0
63,-0.32078338,-0.6877668,-1,10192.257222041091,10188.00264811066,4.2071
64,-0.48984325,-0.5370053,-1,10028.580283733343,10022.337115731143,5.7648
65,-0.5753689,-0.44147313,-1,9782.756216904081,9775.32388719011,8.0873
66,-0.6130018,-0.44862866,-1,9782.756216904081,9791.675012560845,7.9336
67,-0.3489101,-0.07566565,-1,9782.756216904081,9953.204311677722,6.4148
68,-0.3554026,-0.07677692,-1,10221.18420467675,10217.158553583304,3.9329
69,-0.20883667,-0.33178753,-1,10221.18420467675,10177.43879612799,4.3064
72,0.4428779,-0.7931779,1,10570.306027094985,10566.475393476721,0.6485
74,0.5380837,-0.8207808,1,10336.036071906736,10331.781214813736,2.8552
75,0.6275153,-0.83598554,1,10336.036071906736,10260.299615651393,3.5273
76,0.6977582,-0.8727666,1,10336.036071906736,10182.293902279787,4.2608
77,0.6796746,-0.8594513,1,10336.036071906736,10269.092986976924,3.4446
78,0.6182989,-0.8254972,1,10336.036071906736,10164.707159628739,4.4261
79,0.5374372,-0.6807473,1,10336.036071906736,10188.250702209984,4.2047
80,0.449404,-0.4864813,1,10057.750769043028,10053.783171401818,5.4691
81,0.4147749,-0.3162154,1,10057.750769043028,10241.318286576301,3.7058
83,-0.28850877,-0.7717377,1,10057.750769043028,10175.985178751058,4.3201
84,-0.25771135,-0.8075165,-1,10399.608897623399,10397.204686448158,2.2401
89,0.2668103,-0.63479674,-1,10399.608897623399,10474.460005545818,1.5137
90,0.49227178,-0.606033,1,10559.209020091217,10551.37276402522,0.7905
91,0.46862793,-0.7396641,1,10559.209020091217,10609.361058913562,0.2452
92,0.5238911,-0.7124792,1,10559.209020091217,10634.959495395808,0.0046
93,0.51370156,-0.7790121,1,10559.209020091217,10730.561819400918,0.0
94,0.2332089,-0.6848696,1,10559.209020091217,10734.741155969457,0.0
96,-0.38751495,-0.58246213,1,10559.209020091217,10747.279165675047,0.2376
